content,final_category,target,predicted_target
"Не раджу звертатися, не повернули гроші за свій прорахунок",Complaint / Dissatisfaction,negative,negative
"Адміністтор чудова дівчина, дуже ввічлива і приємна!",Gratitude / Positive Feedback,positive,positive
"Надзвичайно привітні і ввічливі працівники, отримала одні позитивні враження.",Gratitude / Positive Feedback,positive,positive
"Не перший рік користуюся сервісом і завжди була задоволена. Але зараз, після зміни персоналу, залишилися дуже неприємні враження! Рівень сервісу на нулі, а обличчя у персоналу наче я до них додому прийшла і щось прошу дати безкоштовно. Розчарована!",Complaint / Dissatisfaction,negative,negative
Люди не викидайте гроші на їх поради скачайте чат чпт там всі поради безкоштовно,Suggestion / Idea,neutral,negative
"дуже класний курс, мені все подобається. рекомендую",Gratitude / Positive Feedback,positive,positive
"Будемо чесними, гроші які я витратила на методички і сесії я могла б вкласти в стажування де-небудь в США. в альма матер Ви навряд чи десь отримаєте. Гуртожитки – жахливі.",Complaint / Dissatisfaction,negative,negative
"Після невдалих спроб скласти практичний іспит у Києві, вирішив спробувати скласти в Переяславі. Сервісний центр просто чудовий, ставлення до людей на вищому рівні. Інспектор Віктор Черниш справжній професіонал, все чітко пояснив та відповів…",Gratitude / Positive Feedback,positive,positive
"Після першого курсу довелося втекти, т.к. рівень не відповідав очікуванням.",Complaint / Dissatisfaction,negative,positive
"Була на іспиті, зловила талон в СЦ й відразу викликали на іспит. Екзаменатор Бідоч Олег Михайлович дуже приємний та спокійний, хвилювання відразу пішло і я успішно склала! Дякую за чудовий сервіс. В Києві набагато довше та важче.",Gratitude / Positive Feedback,positive,positive
Черги!!! Одна людина обслуговується годину... Не вистачає працівників,Complaint / Dissatisfaction,negative,negative
"Жахливе місце! Годинник очікування, прописка виписка на одну особу 30 хвилин!! Дуже повільно працюють, хамлять! Блондинка вважає себе Богом! За часів ракет і нанотехнологій вони не приймають квитанції привату, вимагають мільйон копій (а як…",Complaint / Dissatisfaction,negative,negative
"Гарне історичне місце, дуже цікаво, архітектура - супер. Маст візіт!))",Gratitude / Positive Feedback,positive,positive
"Оформляла ідентифікаційний код. Я в захваті від співробітниці (12 віконце), давно не бачила доброзичливих людей, яким не складно відповідати на ті питання щодня.",Gratitude / Positive Feedback,positive,negative
"Заклад приклад того, коли людина працює на окладі і їй нікуди вже спішити не треба... Швидкість обслуговування 1 людина на годину.
Загальна черга для вирішення питань, будто ""мені тільки спитати"", чи отримати допомогу на поховання..",Complaint / Dissatisfaction,negative,negative
@Дія дякую за відповідь. чи планується внесення змін до законодавства що регулює питання надання компенсації за пошкоджене житло згідно 381 постанові КМУ з можливістю подання заяви на компенсацію через ЦНАП або нотаріуса?,Question / Request for Help,neutral,neutral
"Добрий день.Я не живу в зоні бойових дій Вінниця- місто ,де проживаю Можливо я неправильно зрозуміла? Тільки для тих ,хто постраждав від ворога? Я самотня,  пенсіонерка , була б дуже вдячна ,якби получити допомогу для ремонту квартири ,в якій мешкаю",Question / Request for Help,neutral,neutral
"Для бізнесу, який надає послуги відповідного КВЕДа по ремонту чи потрібно мати термінал для зчитування карток? Чи можна безготівковий розрахунок на бізнесрахунок?",Question / Request for Help,neutral,neutral
Хороший центр зробили реєстрацію фоп за 10 хв. Сервіс на високому рівні,Gratitude / Positive Feedback,positive,positive
"Чудове місце. Площа, є хороший сквер. Зупинка автотранспорту.",Gratitude / Positive Feedback,positive,positive
Чудово красиве місце! Обов'язково до відвідування у Чернівцях!,Gratitude / Positive Feedback,positive,positive
При зверненні навіть не хочуть спілкуватися відключають телефон  ЗАПИТАННЯ ДО МОЖНОВЛАДЦІВ то навіщо така гаряча лінія,Complaint / Dissatisfaction,negative,negative
"Огидно, після закінчення навчання чекав на документи дуже довго",Complaint / Dissatisfaction,negative,negative
"Тут не про обслуговування ,до того  не дійшло, працівники просто не прийшли вчасно на роботу, незнаю чи взагалі прийшли ,бо я чекала з 9.00 до 10.00 ,була лише черга ,яка збільшувалась .,а працювати так ніхто і не прийшов за вказаним графіком! Я просто в шоці......",Complaint / Dissatisfaction,negative,negative
"Канівський фаховий коледж культури і мистецтв - місце творчої енергії. Тут навчають бути лідером, розвивати свої таланти, творити прекрасне і робити цей світ досконалішим.",Gratitude / Positive Feedback,positive,neutral
"Вчився в цьому гавні колись , що можу сказати .. Просто Жах а не навчальний заклад , просто нема слів . Вчителя просто не адекватні , Тільки Андрій Андрійович і Фізруки нормальні а всі інші це просто жах , а що до туалетів в старому корпусі я просто ошарашений , це не вписується в ніякі рамки ….. не раджу віддавати сюда своїх дітей",Complaint / Dissatisfaction,negative,negative
"Усім доброго дня. Не коли не думав, що доведеться звертатися до закладів цього напряму. Але коли завів собі собаку, то стало питання яку віт клініку вибрати. Щоб ціна та якість обслуговування збігалися і мені підказали що при КП є віт…",Question / Request for Help,neutral,negative
Коледж добрий. Вчителі приємні та зрозуміло пояснюють.,Gratitude / Positive Feedback,positive,positive
"буфет жах, ціни зростають, а начинка все менше і менше, за що ми платимо такі гроші? сморід і антисанітарія скрізь просто жерсть !!!!!!",Complaint / Dissatisfaction,negative,negative
"Відмінний навчальний заклад найвищого рівня)
Відмінний вибір для свого розвитку
Тут враховують вашу думку, куди ви хочете краще розвиватися, можуть допомогти, дають вибір у предметах.",Gratitude / Positive Feedback,positive,positive
"Дуже задоволена роботою Цнапу. Особлива вдячність Христині Матківській, до таких спеціалістів хочеться повертатись знову і знову. Щиро рекомендую!",Gratitude / Positive Feedback,positive,positive
