title,description,link,text,category,predicted_category
UK long-term borrowing costs reach 28-year high,There have been extra jitters in UK government debt markets ahead of Thursday's local and national elections.,https://www.bbc.com/news/articles/c936qn69016o?at_medium=RSS&at_campaign=rss,long term borrowing cost reach year high extra jitter government debt market ahead thursday local national election,economic,economic
Voters will judge Trump on the economy - how is it doing?,How much Donald Trump can do with the time he has left as president will depend massively on the cost of living.,https://www.bbc.com/news/articles/cgepyv20vrpo?at_medium=RSS&at_campaign=rss,voter judge trump economy donald trump time leave president depend massively cost live,economic,political
"Mortgages, jobs and energy bills - how the Iran war will affect your money",The Bank of England's latest report reveals some interesting details on how our finances will be affected due to the Iran war.,https://www.bbc.com/news/articles/cg4pqe1zzgqo?at_medium=RSS&at_campaign=rss,mortgage job energy bill iran war affect money bank england late report reveal interesting detail finance affect iran war,economic,economic
Trump says he will hike tariffs on EU cars to 25% ,"The current level of tariffs charged on goods entering the US from the EU is 15%, under a deal negotiated last July.",https://www.bbc.com/news/articles/c4g8zpylzz9o?at_medium=RSS&at_campaign=rss,trump say hike tariff car current level tariff charge good enter deal negotiate july,economic,political
How the Iran war affects your money and bills,"The conflict in the Middle East has increased pressure on the cost of petrol, household energy bills and even food.",https://www.bbc.com/news/articles/c2e4ygndjpwo?at_medium=RSS&at_campaign=rss,iran war affect money bill conflict middle east increase pressure cost petrol household energy bill food,economic,political
Faisal Islam: The wide field of uncertainties facing the UK,The Bank tries to manage expectations over what outcomes are plausible if the Middle East conflict lasts several months.,https://www.bbc.com/news/articles/cg4pqg250p2o?at_medium=RSS&at_campaign=rss,faisal islam wide field uncertainty face bank try manage expectation outcome plausible middle east conflict last month,economic,social
Bank of England says rates could rise as Iran war fuels inflation,The Bank of England voted to hold interest rates at 3.75% as it monitors the knock-on effects of the Middle East conflict.,https://www.bbc.com/news/articles/cg7p89mp2rjo?at_medium=RSS&at_campaign=rss,bank england say rate rise iran war fuel inflation bank england vote hold interest rate monitor knock effect middle east conflict,economic,economic
Why are UK prices rising more quickly?,The war in Iran has pushed UK Inflation further above the Bank of England's 2% target.,https://www.bbc.com/news/articles/c17rgd8e9gjo?at_medium=RSS&at_campaign=rss,price rise quickly war iran push inflation bank england target,economic,economic
Will UK interest rates go up?,"The interest rate set by the Bank of England affects mortgage, loan and savings rates for millions.",https://www.bbc.com/news/articles/c3dky111m40o?at_medium=RSS&at_campaign=rss,interest rate interest rate set bank england affect mortgage loan savings rate million,economic,economic
"'Numbskull, moron and too stupid': Trump and Powell's biggest clashes",How the US President Donald Trump and Federal Reserve chair Jerome Powell came to blows.,https://www.bbc.com/news/articles/c7v952p61dgo?at_medium=RSS&at_campaign=rss,numbskull moron stupid trump powell big clash president donald trump federal reserve chair jerome powell come blow,economic,political
A fresh financial crisis may be coming - it won't play out like the last one,Several warning lights are flashing that have some wondering whether we are in the foothills of another financial crisis.,https://www.bbc.com/news/articles/cp3p5l0nyevo?at_medium=RSS&at_campaign=rss,fresh financial crisis come win play like warning light flash wonder foothill financial crisis,economic,economic
'I don't want the children to see how worried we are': UK family finances hit by Iran war,British families tell BBC Panorama how the Iran war is affecting their monthly budgets.,https://www.bbc.com/news/articles/ckg9q2g88nzo?at_medium=RSS&at_campaign=rss,don want child worried family finance hit iran war british family tell bbc panorama iran war affect monthly budget,economic,political
Profile,The IMF chief navigating the world through troubled financial times.,https://www.bbc.co.uk/sounds/play/m002vm7v?at_medium=RSS&at_campaign=rss,profile imf chief navigate world troubled financial time,economic,economic
